SONDA;VALOR;TIMESTAMP
SondaORP;12/08/2017-11:10:52;1018.8
SondaPH;12/08/2017-11:10:53;0.000
SondaTemp;12/08/2017-11:20:51;27.638
SondaORP;12/08/2017-11:20:52;1018.9
SondaPH;12/08/2017-11:20:53;0.000
SondaTemp;12/08/2017-11:30:51;27.852
SondaORP;12/08/2017-11:30:52;1018.6
SondaPH;12/08/2017-11:30:53;0.000
SondaTemp;12/08/2017-11:40:51;27.856
SondaORP;12/08/2017-11:40:52;1018.7
SondaPH;12/08/2017-11:40:53;0.000
SondaTemp;12/08/2017-11:50:51;28.083
SondaORP;12/08/2017-11:50:52;1018.9
SondaPH;12/08/2017-11:50:53;0.000
SondaTemp;12/08/2017-12:00:51;28.105
SondaORP;12/08/2017-12:00:52;1018.2
SondaPH;12/08/2017-12:00:53;0.000
SondaTemp;12/08/2017-12:10:51;28.382
SondaORP;12/08/2017-12:10:52;1018.7
SondaPH;12/08/2017-12:10:53;0.000
SondaTemp;12/08/2017-12:20:51;28.407
SondaORP;12/08/2017-12:20:52;1019.1
SondaPH;12/08/2017-12:20:53;0.000
SondaTemp;12/08/2017-12:30:51;28.907
